ID_STA,ARRONDISSEMENT,NBR_PLA,X,Y,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,Note_FR,Note_EN,Longitude,Latitude
22,Saint-Léonard,9,298323,5049963.0234704,Municipale,Entre les rues de la Salette et Louis-Vanier,Between rue de la Salette and Louis-Vanier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5830104972,45.5895428455
23,Saint-Léonard,91,298243,5049911.0184496,Municipale,Coin boul. Métropolitain et rue Louis-Vanier,Corner boul. Métroplitain and rue Louis-Vanier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5840350934,45.5890741399
24,Le Sud-Ouest,735,296781,5033939.0164491,Stationnement de Montréal,"Parc Angrignon, sur le boul. des Trinitaires au nord du boul. De La Vérendrye à l'angle de la rue Lacroix","Parc Angrignon, boul. des Trinitaires, North of boul. De La Vérendrye, at the corner of rue Lacroix",18h à 7h,6 p.m to 7 a.m,Le Sud-Ouest,,,-73.6025108919,45.4453364627
25,Rosemont - La Petite-Patrie,31,296871,5044018.0195161,Stationnement de Montréal,Rue Saint-André entre la rue Beaubien et la rue Bellechasse,Rue Saint-André between rue Beaubien and rue Bellechasse,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,Sauf places réservées,Except reserved spaces,-73.6015231892,45.5360327503
27,Rosemont - La Petite-Patrie,27,298943,5045468.0195048,Stationnement de Montréal,8e Avenue entre la rue Dandurand et la rue Masson,8e Avenue between rue Dandurand and rue Masson,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,,,-73.5750106057,45.5491008695
28,Rosemont - La Petite-Patrie,100,296600,5044226.0195972,Stationnement de Montréal,Rue Boyer entre la rue Beaubien et la rue Saint-Zotique,Rue Boyer between rue Beaubien and rue Saint-Zotique,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,,,-73.6049965600,45.5379012737
30,Ville-Marie,61,299418,5040876.0161746,Stationnement de Montréal,De Maisonneuve entre Bleury et Jeanne-Mance,De Maisonneuve between Bleury and Jeanne-Mance,21h à 7h,9 p.m to 7 a.m,Ville-Marie,,,-73.5688768356,45.5077840948
33,Saint-Léonard,134,297347,5048196.0228771,Municipale,Coin boul. Métropolitain et rue Colbert,Corner boul. Métroplitain and rue Colbert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5954921294,45.5736330815
34,Saint-Léonard,16,297200,5050581.0231345,Municipale,Côté sud entre les boul. Lacordaire et Langelier,South side between boul. Lacordaire and Langelier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5974126850,45.5950924122
35,Rosemont - La Petite-Patrie,19,296976,5043948.0227583,Stationnement de Montréal,Entre la rue Beaubien Est et la rue Bellechasse,between rue Beaubien Est and rue Bellechasse,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,,,-73.6001776493,45.5354040809
37,LaSalle,130,294688,5031275.0192563,Municipale,"707, 75e Avenue","707, 75e Avenue",23h à 7h,11 p.m to 7 a.m,LaSalle,Section horaire,Hourly spaces,-73.6292119822,45.4213372918
38,Outremont,7,296080,5042616.0141609,Municipale,"Nord du 780, av. Querbes","North of 780, av. Querbes",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6116262043,45.5234075360
39,Rosemont - La Petite-Patrie,300,300503,5046378.0173597,Municipale,"4101, rue Sherbrooke Est (P2)","4581,  rue Sherbrooke (P2)",18h à 7h,6 p.m to 7 a.m,Rosemont - La Petite-Patrie,Des travaux sont prévus au cours de l'année 2019 dans le  stationnement de l'Insectarium qui sera fermé. Espace réservé à l'entrepreneur qui doit y installer ses roulottes et périmètre de chantier. Date de fermeture pas encore connue.,,-73.5550396873,45.5573007175
40,Saint-Léonard,45,297596,5049373.0165088,Municipale,Coin rue Jarry et boul. Lacordaire,Corner rue Jarry  and boul. Lacordaire,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5923191565,45.5842266438
41,Saint-Léonard,32,298270,5049948.0220221,Municipale,Entre la rue Jarry et le boul. Métropolitain,Between rue Jarry and boul. Metropolitain,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5836895542,45.5894073626
42,Le Plateau-Mont-Royal,43,296933,5043058.0168336,Stationnement de Montréal,Rue Saint-Dominique entre la rue Bernard et la rue Saint-Viateur,Rue Saint-Dominique between rue Bernard  and rue Saint-Viateur,21h à 7h,9 p.m to 7 a.m,Le Plateau-Mont-Royal,Sauf places réservées,Except reserved spaces,-73.6007139210,45.5273949928
44,Le Plateau-Mont-Royal,113,299665,5042596.0222308,Stationnement de Montréal,Rue Sherbrooke entre la rue Calixa-Lavallée et le Parc Lafontaine,Rue Sherbrooke between rue Calixa-Lavallée  and Parc Lafontaine,21h à 7h,9 p.m to 7 a.m,Le Plateau-Mont-Royal,Section horaire,Hourly spaces,-73.5657338406,45.5232632674
45,Ville-Marie,36,299910,5039651.0179084,Stationnement de Montréal,Rue Notre-Dame entre la rue De l'Inspecteur et la rue De la Cathédrale,Rue Notre-Dame between rue De l'Inspecteur and rue De la Cathédrale,21h à 7h,9 p.m to 7 a.m,Ville-Marie,Côté ouest seulement.  Section horaire,West side only. Hourly spaces,-73.5625681954,45.4967646614
46,Ville-Marie,24,299750,5039751.0175628,Stationnement de Montréal,Mansfield côté ouest entre Saint-Antoine et Saint-Jacques,Mansfield (West site) between Saint-Antoine and Saint-Jacques,21h à 7h,9 p.m to 7 a.m,Ville-Marie,,,-73.5646164444,45.4976633620
47,Rosemont - La Petite-Patrie,45,296053,5044554.0212638,Stationnement de Montréal,Rue Saint-André entre la rue Jean-Talon et la rue Bélanger,Rue Saint-André  between rue Jean-Talon  and rue Bélanger,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,,,-73.6120064457,45.5408460970
48,Outremont,10,297177,5042059.0203865,Municipale,"Sud du 5123, av. Durocher","South of 5123, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.5975746787,45.5184083487
